Provincia,Cantón,Distrito,Densidad poblacional,Población total
Guanacaste,Nicoya,Nosara,70.42274598,9412
Guanacaste,Nicoya,Belén de Nosarita,18.77793126,2311
Guanacaste,Santa Cruz,Santa Cruz,102.568185,29634
Guanacaste,Santa Cruz,Bolsón,73.66790582,2378
Guanacaste,Santa Cruz,Veintisiete de Abril,30.71947195,9308
Guanacaste,Santa Cruz,Tempate,58.24325292,8136
Guanacaste,Santa Cruz,Cartagena,77.95610425,5683
Guanacaste,Santa Cruz,Cuajiniquil,5.371559633,1171
Guanacaste,Santa Cruz,Diriá,77.74086379,5148
Guanacaste,Santa Cruz,Cabo Velas,51.23473541,3776
Guanacaste,Santa Cruz,Tamarindo,56.56277262,7132
Guanacaste,Bagaces,Bagaces,17.83661579,15858
Guanacaste,Bagaces,La Fortuna,14.13103322,2310
Guanacaste,Bagaces,Mogote,23.85982285,4337
Guanacaste,Bagaces,Río Naranjo,27.60201742,1204
Guanacaste,Carrillo,Filadelfia,69.28297668,8677
Guanacaste,Carrillo,Palmira,215.8614113,6791
Guanacaste,Carrillo,Sardinal,81.09697505,21099
Guanacaste,Carrillo,Belén,64.01669046,11660
Guanacaste,Cañas,Cañas,122.347092,23624
Guanacaste,Cañas,Palmira,8.832034505,1802
Guanacaste,Cañas,San Miguel,22.24059529,2690
Guanacaste,Cañas,Bebedero,47.53703066,2760
Guanacaste,Cañas,Porozal,7.772067442,862
Guanacaste,Abangares,Las Juntas,49.5605789,11335
Guanacaste,Abangares,Sierra,23.99107143,2687
Guanacaste,Abangares,San Juan,15.23215781,1637
Guanacaste,Abangares,Colorado,33.11767085,6552
Guanacaste,Tilarán,Tilarán,65.07081174,9419
Guanacaste,Tilarán,Quebrada Grande,33.17851959,1143
Guanacaste,Tilarán,Tronadora,14.85742871,2079
Guanacaste,Tilarán,Santa Rosa,33.3380242,2369
Guanacaste,Tilarán,Líbano,13.03202551,940
Guanacaste,Tilarán,Tierras Morenas,15.5424868,1295
Guanacaste,Tilarán,Arenal,32.2829228,2346
Guanacaste,Tilarán,Cabeceras,32.22069507,1641
Guanacaste,Nandayure,Carmona,83.3228048,2638
Guanacaste,Nandayure,Santa Rita,34.78007007,1787
Guanacaste,Nandayure,Zapotal,12.67605634,1332
Guanacaste,Nandayure,San Pablo,30.16137295,2355
Guanacaste,Nandayure,Porvenir,19.15317559,769
Guanacaste,Nandayure,Bejuco,11.43282784,2993
Guanacaste,La Cruz,La Cruz,36.11683749,12439
Guanacaste,La Cruz,Santa Cecilia,35.92496415,9269
Guanacaste,La Cruz,La Garita,10.32956582,2824
Guanacaste,La Cruz,Santa Elena,4.507545282,2297
Guanacaste,Hojancha,Hojancha,55.39772727,3900
Guanacaste,Hojancha,Monte Romo,10.15012621,764
Guanacaste,Hojancha,Puerto Carrillo,22.94783401,1764
Guanacaste,Hojancha,Huacas,22.87334594,726
Guanacaste,Hojancha,Matambú,122.847302,1070
Puntarenas,Puntarenas,Puntarenas,195.5039671,6653
Puntarenas,Puntarenas,Pitahaya,26.61798266,2916
Puntarenas,Puntarenas,Chomes,63.92601934,7604
Puntarenas,Puntarenas,Lepanto,28.66536259,12163
Puntarenas,Puntarenas,Paquera,30.73920686,10317
Puntarenas,Puntarenas,Manzanillo,61.81089208,3700
Puntarenas,Puntarenas,Guacimal,11.64955629,1339
Puntarenas,Puntarenas,Barranca,961.8061309,34827
Puntarenas,Puntarenas,Monteverde,100.729381,5386
Puntarenas,Puntarenas,Cóbano,32.85620321,10490
Puntarenas,Puntarenas,Chacarita,3589.634146,17661
Puntarenas,Puntarenas,Chira,43.28891004,1819
Puntarenas,Puntarenas,Acapulco,18.16788387,2015
Puntarenas,Puntarenas,El Roble,3020.554855,23953
Puntarenas,Puntarenas,Arancibia,19.03700401,854
Puntarenas,Esparza,Espíritu Santo,794.7117927,15028
Puntarenas,Esparza,San Juan Grande,296.3121325,5544
Puntarenas,Esparza,Macacona,238.7635511,8149
Puntarenas,Esparza,San Rafael,36.82983683,1264
Puntarenas,Esparza,San Jerónimo,19.08831909,938
Puntarenas,Esparza,Caldera,62.64108352,3885
Puntarenas,Buenos Aires,Buenos Aires,40.76744228,22619
Puntarenas,Buenos Aires,Volcán,22.53881863,4224
Puntarenas,Buenos Aires,Potrero Grande,11.88785524,7450
Puntarenas,Buenos Aires,Boruca,26.63963749,3351
Puntarenas,Buenos Aires,Pilas,13.31117719,1522
Puntarenas,Buenos Aires,Colinas,10.27173913,1323
Puntarenas,Buenos Aires,Chánguena,10.46000586,2856
Puntarenas,Buenos Aires,Biolley,13.87621837,2890
Puntarenas,Buenos Aires,Brunka,26.42120046,4327
Puntarenas,Montes de Oro,Miramar,91.67267484,10172
Puntarenas,Montes de Oro,La Unión,18.89015583,1491
Puntarenas,Montes de Oro,San Isidro,81.99618784,4732
Puntarenas,Osa,Puerto Cortés,40.51367379,9496
Puntarenas,Osa,Palmar,44.73285486,11219
Puntarenas,Osa,Sierpe,4.848781103,3075
Puntarenas,Osa,Bahía Ballena,27.68900398,4384
Puntarenas,Osa,Piedras Blancas,21.7982406,5724
Puntarenas,Osa,Bahía Drake,5.580897531,2190
Puntarenas,Quepos,Quepos,91.21372591,21531
Puntarenas,Quepos,Savegre,24.85794798,5381
Puntarenas,Quepos,Naranjito,52.25481819,5504
Puntarenas,Golfito,Golfito,31.07614498,11060
Puntarenas,Golfito,Puerto Jiménez,14.77450967,10644
Puntarenas,Golfito,Guaycará,46.96997833,15176
Puntarenas,Golfito,Pavón,20.39510925,7206
Puntarenas,Coto Brus,San Vito,170.7199356,12734
Puntarenas,Coto Brus,Sabalito,70.7374505,13218
Puntarenas,Coto Brus,Aguabuena,125.152606,7996
Puntarenas,Coto Brus,Limoncito,35.71659657,4416
Puntarenas,Coto Brus,Pittier,11.72145497,3013
Puntarenas,Coto Brus,Gutiérrez Brown,20.88248877,4974
Puntarenas,Parrita,Parrita,41.52973801,20068
Puntarenas,Corredores,Corredor,68.91210505,18997
Puntarenas,Corredores,La Cuesta,138.1337648,5122
Puntarenas,Corredores,Canoas,118.2756925,14432
Puntarenas,Corredores,Laurel,66.04183214,12472
Puntarenas,Garabito,Jacó,119.0493032,16830
Puntarenas,Garabito,Tárcoles,56.3559322,9842
Limón,Limón,Limón,1208.415005,71514
Limón,Limón,Valle La Estrella,15.43821967,19119
Limón,Limón,Río Blanco,101.6754246,13351
Limón,Limón,Matama,36.6346521,12473
Limón,Pococí,Guápiles,144.30414,31998
Limón,Pococí,Jiménez,117.6476023,12733
Limón,Pococí,Rita,54.22440148,27315
Limón,Pococí,Roxana,123.0311052,20449
