par,modelo,peso_modelo,distancia_km,tiempo_determinista_min,costo_objetivo,costo_astar,costo_dijkstra,diferencia_abs,coincide,NE_astar,NE_dijkstra,ejecucion_astar_ms,ejecucion_dijkstra_ms,ruta_cambio,difiere_referencia,media_simulada_min,desviacion_simulada_min,percentil_90_min,IC_pct,lambda_riesgo,muestra
Validación 24,Menor tiempo,travel_time_min,1.989155724511452,3.103432622273891,3.103432622273891,3.10343262227389,3.103432622273891,8.881784197001252e-16,True,335,706,8.748599997488782,3.6844999995082617,True,False,3.081643701201281,0.47026112867987363,3.687259169588106,84.39999999999999,6.5,Adicional
Validación 25,Menor tiempo,travel_time_min,3.795723504402595,4.877610466027746,4.877610466027746,4.877610466027746,4.877610466027746,0.0,True,682,1570,15.725100005511194,10.408499976620078,False,False,4.885047559923111,0.758433919345938,5.869234875804981,83.6,6.5,Adicional
Validación 26,Menor tiempo,travel_time_min,6.029302907483788,6.560680316426439,6.560680316426439,6.560680316426437,6.560680316426439,2.6645352591003757e-15,True,1375,2024,24.669200007338077,19.932700000936165,False,False,6.596784912301347,1.0230568328363614,7.897728171809216,83.39999999999999,6.5,Adicional
Validación 27,Menor tiempo,travel_time_min,7.7446017759869665,9.228405909899573,9.228405909899573,9.228405909899573,9.228405909899573,0.0,True,2400,4106,35.44300000066869,20.15860000392422,True,False,9.22789685779515,1.383908222556093,10.974217259555285,84.5,6.5,Adicional
Validación 28,Menor tiempo,travel_time_min,1.4803020571139573,2.4313471850400346,2.4313471850400346,2.4313471850400346,2.4313471850400346,0.0,True,218,432,7.195199985289946,2.106100000673905,False,False,2.4169302197463045,0.3914919542501045,2.9271582742129754,82.89999999999999,6.5,Adicional
Validación 29,Menor tiempo,travel_time_min,5.090064353296433,7.2519199314323295,7.2519199314323295,7.251919931432327,7.2519199314323295,2.6645352591003757e-15,True,1797,2895,28.991700004553422,14.377299987245351,True,False,7.256942527956321,1.0947942583226715,8.707844825790088,83.8,6.5,Adicional
Validación 30,Menor tiempo,travel_time_min,7.044367668015863,7.643658164177544,7.643658164177544,7.643658164177543,7.643658164177544,8.881784197001252e-16,True,2747,4164,31.54609998455271,20.721200009575114,False,False,7.665197288143836,1.1925454137083824,9.26706321265082,84.1,6.5,Adicional
Estadio Oeste → San Pedro,Ajustada por variabilidad,risk_adjusted_time_min,9.803514747760216,9.983676057412593,18.51901276295399,18.51901276295399,18.51901276295399,0.0,True,5293,4554,75.17910000751726,22.318600007565692,True,True,10.028307150349628,1.590661702213423,12.067078361543471,83.89999999999999,6.5,Original
Cuatro Reinas → Paso Ancho,Ajustada por variabilidad,risk_adjusted_time_min,5.558033633341159,8.22107514218168,19.512194256614883,19.512194256614873,19.512194256614883,1.0658141036401503e-14,True,5382,4773,73.29219998791814,23.249799996847287,False,False,8.257874264983286,1.3363087999330645,10.035802318022844,82.89999999999999,6.5,Original
Hatillo → Curridabat,Ajustada por variabilidad,risk_adjusted_time_min,9.193287353421631,8.981229779547716,16.670566420603148,16.67056642060314,16.670566420603148,7.105427357601002e-15,True,4324,3640,56.31099999300204,23.38130000862293,False,False,8.934600581023824,1.3718007639794265,10.750613954983235,84.39999999999999,6.5,Original
Validación 01,Ajustada por variabilidad,risk_adjusted_time_min,2.3945439548685674,3.3426019770255455,7.963234718632548,7.963234718632545,7.963234718632548,2.6645352591003757e-15,True,1229,977,17.757399997208267,4.417600022861734,False,False,3.337310960716503,0.551648269843211,4.103543827494557,82.6,6.5,Adicional
Validación 02,Ajustada por variabilidad,risk_adjusted_time_min,8.086153341672743,8.844071357878898,17.882083001548484,17.882083001548477,17.882083001548484,7.105427357601002e-15,True,4786,4233,63.38559999130666,20.334100001491606,False,False,8.82133675404061,1.3775742181974122,10.654834469107962,84.2,6.5,Adicional
Validación 03,Ajustada por variabilidad,risk_adjusted_time_min,3.046164689996227,5.484920291365758,11.809186867106677,11.809186867106675,11.809186867106677,1.7763568394002505e-15,True,1493,2327,19.209299993235618,11.828200018499047,True,True,5.51142189213697,0.8601441173748189,6.60478065845444,83.7,6.5,Adicional
Validación 04,Ajustada por variabilidad,risk_adjusted_time_min,5.135507286824819,7.82698612536766,17.241624830266392,17.241624830266392,17.241624830266392,0.0,True,4558,3255,52.72330000298098,16.406300012022257,False,False,7.833156446471329,1.1942896934010803,9.453414370297239,84.1,6.5,Adicional
Validación 05,Ajustada por variabilidad,risk_adjusted_time_min,14.793546732926677,14.133329498877325,27.75142000375089,27.751420003750873,27.75142000375089,1.7763568394002505e-14,True,5944,5924,98.88509998563677,28.628699976252392,True,True,14.075931807262895,2.1593494654364855,16.804077563666873,84.0,6.5,Adicional
Validación 06,Ajustada por variabilidad,risk_adjusted_time_min,2.2928573563740398,3.842101679381061,8.44576708715518,8.44576708715518,8.44576708715518,0.0,True,1236,1104,16.194299998460338,5.946499994024634,False,False,3.830022638445289,0.6055821734004779,4.62864437884316,82.5,6.5,Adicional
Validación 07,Ajustada por variabilidad,risk_adjusted_time_min,0.9199055882680927,1.4602916156655346,3.368616733561037,3.368616733561037,3.368616733561037,0.0,True,152,139,7.127600023522973,1.5495999832637608,False,False,1.4657841707720427,0.24860500222671428,1.7911939030031288,82.0,6.5,Adicional
Validación 08,Ajustada por variabilidad,risk_adjusted_time_min,8.88479902817804,11.350684826396293,23.31926744481031,23.319267444810308,23.31926744481031,3.552713678800501e-15,True,5368,5837,75.96530002774671,28.83789999759756,True,True,11.434072038525523,1.7433931446596427,13.715282910915466,83.39999999999999,6.5,Adicional
Validación 09,Ajustada por variabilidad,risk_adjusted_time_min,9.179498243891992,9.477606843588195,18.987449799966065,18.987449799966043,18.987449799966065,2.1316282072803006e-14,True,5612,5355,77.02130000689067,40.54280000855215,True,True,9.508968441478006,1.4181629449392044,11.367953155115577,84.2,6.5,Adicional
