par,tipo_ruta,tiempo_min
Estadio Oeste → San Pedro,Ruta optimizada,13.921059444205772
Estadio Oeste → San Pedro,Ruta optimizada,8.624599187432242
Estadio Oeste → San Pedro,Ruta optimizada,9.1128487419503
Estadio Oeste → San Pedro,Ruta optimizada,8.464597773242383
Estadio Oeste → San Pedro,Ruta optimizada,9.142439118417547
Estadio Oeste → San Pedro,Ruta optimizada,10.121344701929901
Estadio Oeste → San Pedro,Ruta optimizada,12.120923886408548
Estadio Oeste → San Pedro,Ruta optimizada,8.455240046831154
Estadio Oeste → San Pedro,Ruta optimizada,8.877143312374313
Estadio Oeste → San Pedro,Ruta optimizada,6.95354573109491
Estadio Oeste → San Pedro,Ruta optimizada,9.673140519737762
Estadio Oeste → San Pedro,Ruta optimizada,7.991781063308217
Estadio Oeste → San Pedro,Ruta optimizada,9.474274863069006
Estadio Oeste → San Pedro,Ruta optimizada,9.083061234055108
Estadio Oeste → San Pedro,Ruta optimizada,9.633943916909717
Estadio Oeste → San Pedro,Ruta optimizada,7.619233946608569
Estadio Oeste → San Pedro,Ruta optimizada,7.5246536550134335
Estadio Oeste → San Pedro,Ruta optimizada,14.025432816669532
Estadio Oeste → San Pedro,Ruta optimizada,8.137161936547436
Estadio Oeste → San Pedro,Ruta optimizada,8.451114354185977
Estadio Oeste → San Pedro,Ruta optimizada,12.924831825556764
Estadio Oeste → San Pedro,Ruta optimizada,15.624237576581342
Estadio Oeste → San Pedro,Ruta optimizada,8.28174366339477
Estadio Oeste → San Pedro,Ruta optimizada,8.916179729502474
Estadio Oeste → San Pedro,Ruta optimizada,10.934279372309959
Estadio Oeste → San Pedro,Ruta optimizada,12.576163228167328
Estadio Oeste → San Pedro,Ruta optimizada,8.494894722203526
Estadio Oeste → San Pedro,Ruta optimizada,9.4875565688605
Estadio Oeste → San Pedro,Ruta optimizada,10.66688276632217
Estadio Oeste → San Pedro,Ruta optimizada,11.04796260417424
Estadio Oeste → San Pedro,Ruta optimizada,9.175512363779623
Estadio Oeste → San Pedro,Ruta optimizada,10.335573632841067
Estadio Oeste → San Pedro,Ruta optimizada,7.844235238972708
Estadio Oeste → San Pedro,Ruta optimizada,9.625134638098402
Estadio Oeste → San Pedro,Ruta optimizada,9.600483535760938
Estadio Oeste → San Pedro,Ruta optimizada,10.018167768512338
Estadio Oeste → San Pedro,Ruta optimizada,9.044952415319457
Estadio Oeste → San Pedro,Ruta optimizada,10.934650501336787
Estadio Oeste → San Pedro,Ruta optimizada,11.314094339289003
Estadio Oeste → San Pedro,Ruta optimizada,9.974593055616376
Estadio Oeste → San Pedro,Ruta optimizada,10.189218759617937
Estadio Oeste → San Pedro,Ruta optimizada,10.965009274277389
Estadio Oeste → San Pedro,Ruta optimizada,9.882986186005292
